Time,open,high,low,close,tick_volume,spread,real_volume,EMA_12_M5,EMA_26_M5,EMA_50_M5,RSI_14_M5,RSI_56_M5,RSI_224_M5,MACD_12_26_9_M5,Bollinger_20_2_M5_Upper,Bollinger_20_2_M5_Middle,Bollinger_20_2_M5_Lower,target
2024-11-27 03:35:00,1.04878,1.04898,1.04864,1.04871,148,4,0,0.16778799973895175,0.16266627072416284,0.15266434576246724,0.3841777273343215,0.5764150497258893,0.606783273678728,0.6110454525972094,0.15428915722200287,0.16828536944140637,0.23439795995806634,0
2024-11-08 14:35:00,1.07719,1.07763,1.07696,1.07706,199,4,0,0.7091491566110797,0.715046307225407,0.7176695509817712,0.05929074324362578,0.45757546593753673,0.45004737228214875,0.5623068660043689,0.7043444248712092,0.7202504431788164,0.722999882600007,0
2024-11-01 22:50:00,1.0835,1.08351,1.08334,1.0834,63,4,0,0.8159077805637907,0.8219603986918038,0.8330005832411373,0.4247685179175212,0.29561048509214916,0.3607453869078825,0.5775040073280907,0.7745962422871635,0.8169577188549013,0.8335565273542578,1
2024-11-12 05:15:00,1.06465,1.06472,1.06446,1.06467,117,4,0,0.46349273881677533,0.46584302185907234,0.46837343863956704,0.54820085408385,0.4018385717230746,0.40706655116463275,0.566553316485039,0.44055202318138953,0.46334816882284,0.5030194563336359,0
2024-11-19 03:50:00,1.05936,1.05945,1.05922,1.05926,131,4,0,0.3614712322760738,0.35910368204398324,0.355906918833778,0.5844354937162602,0.48965086276275305,0.8046319973480596,0.6082173585425081,0.33367196476280725,0.35862595707765976,0.41272620320982156,0
2024-11-15 02:10:00,1.05303,1.05313,1.05287,1.05287,103,4,0,0.24348039192354776,0.2382736968160586,0.2362578542712761,0.43986868365176585,0.37198181994647195,0.5398825732068777,0.6242205339351434,0.21818791920026825,0.24075925017915623,0.30650368242210746,0
2024-11-19 15:20:00,1.05836,1.05842,1.05776,1.05786,244,4,0,0.32714361180016027,0.31355748076131107,0.3058189132236713,0.7815221608589568,0.5366361501586623,0.518067170489279,0.7406675742088586,0.31174720074557527,0.3149115528231441,0.35336078183625474,1
2024-11-11 20:45:00,1.06483,1.065,1.06474,1.06497,113,4,0,0.4687780805186428,0.4674908656064716,0.4669732442147172,0.4552206100325305,0.4719879271896331,0.3469763927881522,0.6121295387810598,0.44091819731859516,0.4689020480518984,0.5128727746684483,1
2024-11-20 14:05:00,1.05593,1.05593,1.05526,1.05526,167,4,0,0.287937537285309,0.28546613644497043,0.290879794875341,0.5586893575961794,0.32635393977586835,0.40989161742759506,0.5977100463359717,0.2652871341057832,0.2810413759287904,0.3355167018127361,1
2024-11-05 01:55:00,1.08736,1.08742,1.08733,1.08735,52,4,0,0.8936036836062833,0.8990558948113829,0.9067681629273459,0.11366793912544067,0.3417135279907101,0.4636467000221123,0.5973383856094645,0.8499162810225975,0.8963338739486275,0.9074327580711063,1
2024-11-18 23:10:00,1.05944,1.05951,1.05937,1.05939,41,4,0,0.36244869839357463,0.3586095694277134,0.3484676035425096,0.5360779126141304,0.7427645460053193,0.7985420434091763,0.6264695611033582,0.3347432962171588,0.35941802134802003,0.41315796496152046,1
2024-11-25 17:40:00,1.0516,1.0516,1.0509,1.05122,236,4,0,0.20660313541045028,0.1994122310639881,0.1832966719402691,0.40728676133299097,0.617106676338076,0.838003793353223,0.642709891929454,0.2200007729644291,0.2073228227661872,0.24334559820994173,0
2024-11-26 14:25:00,1.05352,1.05356,1.0528,1.05312,252,4,0,0.2311524640673852,0.21519997101743016,0.19392713685902052,0.7013368685320402,0.7199317589618018,0.7126909561534585,0.7543826998480498,0.22255857791020617,0.218930336061554,0.26222664268298246,0
