Time,open,high,low,close,tick_volume,spread,real_volume,EMA_50_M5,RSI_M5,MACD_M5,MACD_signal_M5,MACD_histogram_M5,Bollinger_upper_M5,Bollinger_lower_M5,target
2024-11-14 22:20:00,1.05271,1.05296,1.05236,1.05293,357,4,0,0.2681463733542131,0.0,0.4473351913542458,0.4473351913542458,0.4473351913542458,0.9627736428161653,0.9627736428161653,0
2024-11-13 15:50:00,1.06282,1.06389,1.0628,1.06388,380,4,0,0.4188724803308297,0.0,0.6887167914992185,0.6887167914992185,0.6887167914992185,0.9719935362015298,0.9719935362015298,0
2024-11-07 05:50:00,1.07401,1.07409,1.07389,1.07408,91,4,0,0.623194149098321,0.0,0.7014776946003314,0.7014776946003314,0.7014776946003314,0.9816811244613968,0.9816811244613968,1
2024-11-13 22:00:00,1.05653,1.0568,1.05638,1.05639,162,4,0,0.31588565416221925,0.0,0.6155787254786398,0.6155787254786398,0.6155787254786398,0.9658130907473033,0.9658130907473033,1
2024-11-22 22:50:00,1.04151,1.04152,1.04129,1.04134,124,4,0,0.008992319864713494,0.0,0.6197030535810402,0.6197030535810402,0.6197030535810402,0.952466593420108,0.952466593420108,1
2024-11-12 22:10:00,1.06118,1.06129,1.06092,1.06129,143,4,0,0.39238352135809507,0.0,0.639897935352028,0.639897935352028,0.639897935352028,0.971041562880638,0.971041562880638,1
2024-10-29 22:20:00,1.08157,1.08163,1.08157,1.08162,25,1,0,0.7731349806656382,0.0,0.6676822467655601,0.6676822467655601,0.6676822467655601,0.9893682637882917,0.9893682637882917,1
2024-11-06 13:40:00,1.07153,1.07155,1.07083,1.07106,298,4,0,0.6490136341260779,0.0,0.3761271415803393,0.3761271415803393,0.3761271415803393,0.9798829261780507,0.9798829261780507,1
2024-11-13 01:40:00,1.06156,1.06165,1.06152,1.0616,33,4,0,0.4048012073242546,0.0,0.5918837472056622,0.5918837472056622,0.5918837472056622,0.9714247477904309,0.9714247477904309,0
2024-11-20 01:10:00,1.05972,1.05989,1.05967,1.05984,48,4,0,0.35489168024130535,0.0,0.6398920640535248,0.6398920640535248,0.6398920640535248,0.9691312833999066,0.9691312833999066,1
2024-11-05 19:20:00,1.09229,1.09245,1.09211,1.09244,82,4,0,0.9675112271545139,0.0,0.734988667274963,0.734988667274963,0.734988667274963,0.9977625010037168,0.9977625010037168,1
2024-11-01 20:50:00,1.08389,1.08395,1.08383,1.08385,71,4,0,0.8477478519142849,0.0,0.5650413962201265,0.5650413962201265,0.5650413962201265,0.9913974713173227,0.9913974713173227,0
2024-11-19 00:40:00,1.05993,1.05993,1.05981,1.05982,24,9,0,0.3571180463486563,0.0,0.6482959372780204,0.6482959372780204,0.6482959372780204,0.9695197872348814,0.9695197872348814,0
2024-11-25 02:55:00,1.04839,1.04847,1.0481,1.04813,134,4,0,0.1070330137982296,0.0,0.7136041170087173,0.7136041170087173,0.7136041170087173,0.9581537081457238,0.9581537081457238,1
2024-11-05 10:55:00,1.08915,1.08926,1.08905,1.08917,110,4,0,0.9199447049926341,0.0,0.675258817178122,0.675258817178122,0.675258817178122,0.9961068626474354,0.9961068626474354,1
2024-11-11 08:40:00,1.07156,1.07181,1.07156,1.07174,67,4,0,0.5935290411123049,0.0,0.6223408607554378,0.6223408607554378,0.6223408607554378,0.9802711076146736,0.9802711076146736,0
2024-11-21 23:20:00,1.04769,1.04769,1.04745,1.04746,53,5,0,0.14613330110615763,0.0,0.5775846288480476,0.5775846288480476,0.5775846288480476,0.9585988613837559,0.9585988613837559,0
2024-11-05 21:10:00,1.09284,1.09298,1.09278,1.09278,96,4,0,0.9919596074039667,0.0,0.6741445766669522,0.6741445766669522,0.6741445766669522,0.9998941903274371,0.9998941903274371,1
2024-11-28 05:40:00,1.05538,1.05554,1.05532,1.05546,81,4,0,0.28694114568435936,0.0,0.5970707241281076,0.5970707241281076,0.5970707241281076,0.9655923375926734,0.9655923375926734,0
2024-11-15 00:50:00,1.05296,1.05296,1.05287,1.05293,15,6,0,0.23921895292116702,0.0,0.6139194389165082,0.6139194389165082,0.6139194389165082,0.9627512296996592,0.9627512296996592,0
2024-11-04 03:50:00,1.08886,1.08912,1.08886,1.08898,137,4,0,0.8967617731950277,0.0,0.7221112231006979,0.7221112231006979,0.7221112231006979,0.9944619555588753,0.9944619555588753,0
2024-11-21 12:30:00,1.05162,1.05191,1.05152,1.0519,140,4,0,0.2326126340363288,0.0,0.5178867168917465,0.5178867168917465,0.5178867168917465,0.9614629450720835,0.9614629450720835,1
2024-11-05 09:05:00,1.08834,1.08862,1.08833,1.08862,120,4,0,0.9077541787817189,0.0,0.6481417415168882,0.6481417415168882,0.6481417415168882,0.995275567195709,0.995275567195709,1
2024-10-31 00:10:00,1.08563,1.08564,1.08533,1.08546,96,10,0,0.8679728294969564,0.0,0.5900308749820699,0.5900308749820699,0.5900308749820699,0.9932454440447772,0.9932454440447772,1
2024-11-22 06:40:00,1.04724,1.04726,1.04701,1.04702,56,4,0,0.12492004514720279,0.0,0.613249505141998,0.613249505141998,0.613249505141998,0.958249209424389,0.958249209424389,0
2024-11-07 03:05:00,1.07256,1.07276,1.07255,1.07271,115,4,0,0.6215267875959221,0.0,0.5759462853427777,0.5759462853427777,0.5759462853427777,0.9811400067891507,0.9811400067891507,0
2024-11-06 05:45:00,1.07191,1.07438,1.07189,1.07349,382,3,0,0.7836601196500119,0.0,0.019566895712502697,0.019566895712502697,0.019566895712502697,0.9812737718834202,0.9812737718834202,1
2024-10-31 12:30:00,1.08736,1.08739,1.08673,1.08689,152,4,0,0.8713640377239322,0.0,0.7164336320219745,0.7164336320219745,0.7164336320219745,0.992949705805592,0.992949705805592,0
2024-10-31 05:20:00,1.08509,1.08514,1.08497,1.08512,77,4,0,0.8573078346493794,0.0,0.6042829950025116,0.6042829950025116,0.6042829950025116,0.9925301805736603,0.9925301805736603,0
2024-11-20 14:05:00,1.05593,1.05593,1.05526,1.05526,167,4,0,0.290879794875341,0.0,0.5977100463359717,0.5977100463359717,0.5977100463359717,0.9648952261684689,0.9648952261684689,1
2024-11-04 18:45:00,1.08878,1.08886,1.08843,1.0885,154,4,0,0.94580019795551,0.0,0.5197727370984568,0.5197727370984568,0.5197727370984568,0.9958625512259062,0.9958625512259062,0
2024-11-13 06:45:00,1.06185,1.06188,1.06177,1.06183,65,4,0,0.4100246292154033,0.0,0.5962048777513449,0.5962048777513449,0.5962048777513449,0.971443583892492,0.971443583892492,0
2024-10-30 01:20:00,1.08203,1.08208,1.08202,1.08203,32,4,0,0.7864453741996869,0.0,0.6533662855638174,0.6533662855638174,0.6533662855638174,0.9895895282384433,0.9895895282384433,0
